reels_shortcode,p,q,M,constant
DPeT4BHExo-,0.0825181923922372,0.08418729338708138,243,21674.517627382822
DPZEm_oExnd,0.08257112532481799,0.08360030065880884,266,21723.970242374497
DLvRZSlTBzn,0.0828906334532444,0.08006450744774307,37,22024.823826536212
DIvNtToTBL-,0.08272417661008497,0.08190500722843387,231,21867.58042029181
Ciksu1-vDBo,0.08310655750097681,0.07768213715000055,309,22230.44570229296
CdxrbLAsWkI,0.08331069904569972,0.07543503577307792,510,22426.574057227393
CyNkLkGPSjP,0.083305421565876,0.07549306360862797,632,22421.48248036555
CvyjbvoJBLG,0.07337107426785947,0.1910260747180819,346,14594.215053465916
Cr0elvEAZTU,0.0828493099125866,0.08052109972154047,329,21985.684628220286
Cq2_9FhON-B,0.0831703659232141,0.07697921228542873,420,22291.568436292175
CqrUjALstFD,0.08313264716728531,0.07739466834062088,310,22255.417414029067
CkKB9hRjONf,0.08281472830338907,0.08090336076258361,324,21952.983300388994
CjxK2_vDyd4,0.08280535043023668,0.08100704808126963,369,21944.12353008273
CdLgrv2A5-g,0.08305350067998737,0.07826700136358002,1146,22179.746934141658
DMLR-zyzFhQ,0.08217633924790886,0.08798658801864458,91,21357.783706778537
CuQmYfBrxNp,0.0827428333514354,0.08169855110347171,1099,21885.149697886423
CkpVdrdrDph,0.08254944399519762,0.08384069097797647,803,21703.701115680196
DWT7dhZEUuV,0.08301861943477663,0.07865169828059157,176,22146.477606580174
DWL569CkT_6,0.08252307539572874,0.08413312945519152,131,21679.07495951687
DWIj0VLEbKH,0.0827277907181203,0.08186501003288273,175,21870.982791114464
DV-buvQkalh,0.08278044084906694,0.0812825158232115,160,21920.607123605772
DVvxjs_kfX-,0.08256204255280127,0.08370099822134233,243,21715.47681890576
DVkb7ZQjzaE,0.0825304976032204,0.08405080546106518,147,21686.00393955406
DVV8-MykRUP,0.08278493429977835,0.08123281841434116,253,21924.847435171083
DVSSfdcE9-4,0.08303386152137875,0.07848357854537324,195,22161.009321033343
DVDlv3AET2j,0.0825189736713157,0.08417862697613515,172,21675.24673614215
DU3FDcdk26P,0.08280671803167954,0.0809919263944946,135,21945.41535719456
DUznl0_kVSn,0.08256116357890833,0.08371074364334505,136,21714.655050939054
DUvF4fwkc8F,0.08253752921515499,0.08397282007517606,195,21692.570279168278
DUk7Y63E4O8,0.0829338148188518,0.07958761243471557,176,22065.795489786826
DUaI6qIkey2,0.08299663603383421,0.0788942248275367,156,22125.535183773412
